@relation Tweets

@attribute text string
@attribute labelled_sentiment {positive,neutral,negative}

@data
" americanair andrewwasila were sorry you were uncomfoable andrew what can we do for you sma",negative
" americanair dumas2ttg good morning tamara well try to get you comfoably on a flight as soon as we can noxtralegroom nocoatcloset",negative
" americanair jason youll end up missing your connection please see our dfw agents for assistance nope hasnt taken off yet still",negative
" americanair mwangbickler we apologize for your frustrations michael have you been rebooked got call back after 10 hours bad",negative
" americanair thanks for info on super large passengers the extra seat mr big needed was the one i was sitting in already customerservice",negative
" jetblue analystdoc unfounately thats not an available option with our current system sorry guys thats a ceain fail fix it plz",negative
" jetblue benjaminokeefe thanks for including us on your tour did you pack your winter coat unfounately yes  snowflake   snowman   werenotincalianymore",negative
" jetblue our fleets on fleek url",negative
" jetblue our fleets on fleek url  neutral face  expressionless ",negative
" jetblue our fleets on fleek url  neutral face  make it stop",negative
" jetblue our fleets on fleek url confused ",negative
" jetblue our fleets on fleek url plz stop",negative
" jetblue our fleets on fleek url really jetblue fleek  joy  joy  joy  hell no yall petty",negative
" jetblue our fleets on fleek url smh yall expect me to trust a childish airline with my life nah",negative
" jetblue our fleets on fleek url this is what i hate",negative
" southwestair condescension must be a quality your co rewards your tone reeks of it",negative
" southwestair tinaisback im so sorry for your frustration did you get rebooked sw ive been rebooked 4 times still stuck smh",negative
" united 4geiger it looks like form the photo that something burst out of your luggage is this correct jh always blame the customer",negative
" united 5 hours 3 gates and 3 planes late flightr still not an update explanation or apology to be had worstairlineever unitedairlines",negative
" united darquenloveli we regret to hear this please let us know if you need assistance kn i was finally able to secure my seat thx",negative
" united leighemery we dont like to hear this is there anything we can help with thanks ey another empty offer for help",negative
" united mllovelace the baggage fee is waived for premier members please see url jp whats the point of membership",negative
" united qlyss8 we dont want our customers to be frustrated thank you for your patience jt a lovely sentiment but not a 180 one",negative
" united rikrik what made you come to this can we help you with anything jp inconvience",negative
" united rikrik what made you come to this can we help you with anything jp the service just hasnt been great",negative
" united robcnyc see information on our boarding process url kp  i get group 1amp2 just no reason on 35",negative
" united sad that you dont think it is impoant to resolve your client facing team that behaves disgraceful",negative
" united you know your updates every 6 hours telling me you dont know where my bags are is also equally irritating coltsmissingbags",negative
" unitedthats not something we like to hear hopefully our staff can resolve amp have you on your way asap ml 315 amp still not resolved",negative
" usairways alanbledsoe thanks for your feedback alan thx but no help as i watch a flt lve wopen seats and i wait 3hrs for nxt flt",negative
" usairways annettenaif we appreciate the shoutout for robeo dm confirmation code so we can forward ur kind words confirmation code",negative
" usairways chmom please reach out to our crewmember for assistance our apologies for the long wait generic",negative
" usairways its been cancelled flighted your sm response is slow",negative
" usairways tmadcle we dont like to hear this were sorry that its taking so long to get through stop sending generic responses",negative
" usairways were sincerely sorry sean reservations is working hard to answer everyones call and we appreciate your patience false",negative
"12 united just be honest with your customers the new seats are designed to fit more rows on the plane more rows more money",negative
"22 united you dont really care about our comfo you care about profitability thats fine just own up to it unfriendlyskies",negative
"5 hour delay sholy southwestair brendanpshannon brendan we are so sorry to keep you waiting well have you in the air sholyrs 20150218 100936 0800here there many wherescentral time us canada",negative
"all followers please note that usairways is not taking customer service calls nor responding by helping via soc media dontflyusairways",negative
"always been a jetblue fan but maybe next time ill fly virginamerica for real customer service",negative
"americanair",negative
"americanair ",negative
"americanair  inconvenient is such a convenient word",negative
"americanair 1 ticket agent servicing at least 60 people on line waiting for an hour and a half and your phones hang up on people",negative
"americanair 12 calls in the span of two daysnone of which available to speak to someone you are un fin believable worst ever",negative
"americanair 140 characters arent enough to describe how inconsiderate your employees are",negative
"americanair 1hr 46 min cost of flight change 788 was 188 2hrs ago bf drop call cancelled flighted flight asked 4 refund",negative
"americanair 1the lavatory freezes 2 problem with a nitrogen line 3a low tire with the inflating equipment malfunctioning aa2444 and",negative
"americanair 2 hours now no im not patient why dont you have a call back feature or pay someone to answer the phone not tweet onhold",negative
"americanair 2 months and still no exec platinum member cards what gives",negative
"americanair 20 hs students from ithaca ny stuck in miami flts xld u wont rebook to get kids home use carrier alliance rulesshouldbend",negative
"americanair 22 doesnt help me",negative
"americanair 22 you took cost for both flights out of my bank account now i cant get a refund for 2 weeks i have been a loyal customer",negative
"americanair 2284 four hours late flightrs and we are finally flying outtoo bad i missed my event",negative
"americanair 2298 everyone else was outstanding",negative
"americanair 23 i sat on the runway for 4 more hrs b4 takeoff 10 hrs late flight 430 am pilot plainly stated it was a compmech issue",negative
"americanair 249 ewr dfw is now stopping bna to refuel 4 bad weather are you just trying to get the plane closer 2 dfw then cancelled flight on us",negative
"americanair 2days 2plains 2fails",negative
"americanair 2hr and 20 min delayedstill waitingyou need to do something to improve url",negative
"americanair 2nd time in 4 days that my flight has been delayed and my gate agent hasnt said anything thanks for the memories neveragain",negative
"americanair 3 months of straight travel ahead time to find new airline",negative
"americanair 30 minutes since landing flight 1531 from miami and no luggage whats the delay",negative
"americanair 3349 was supposed to be in little rock at 10am this morning",negative
"americanair 3611 was supposed to depa at 510pm central about ready to close the door at 734pm central",negative
"americanair 37 minutes",negative
"americanair 3days and no callbag or anyone to pick up my call held on ph til 130 am and holding again now insanehelp",negative
"americanair 4 open kiosks for priority with no line and only 4 open for main check in for 80100 ppl",negative
"americanair 4 phone calls 2 hrs of being sent back amp foh between two lines in the terminal and its the skycap that finds a solution",negative
"americanair 4285 apparently we re told staff on the ground keep promising to come and they don t",negative
"americanair 4369 about 4 flights all using same gate wbuses to the planes awful boarding process hour and a half late flight",negative
"americanair 45min wait to get deiced in tulsanot good servicelooks like everyone will miss connections not due to weather fight is on",negative
"americanair 4828 but i just missed it because no one is at the gate to marshall us in so now i have to rent a car amp drive 5 hrs so thanks",negative
