@relation Tweets

@attribute text string
@attribute labelled_sentiment {positive,neutral,negative}

@data
"usairways despite mechanical issues and many delays followed by a cancelled flightlation still getting to vegas thanks to great gate agents",positive
"usairways would have been nice to be offered in flight credit especially since im staring at empty overhead room",negative
"united this is why i fly southwestair never have any issues",positive
"usairways how will i change it",neutral
"americanair my flight was cancelled flightled from laguardia to louisville ky and i am stuck at the airport do you guys compensate for this",negative
"united 4016 529557 you going to transfer my car to me too because its at the airport you couldnt get me too",negative
"jetblue yes well they are operating outside of your terminal and targeting vulnerable passengers no better than thieves",negative
"usairways its pretty hilarious that you want sweetingr to finish his awful experience before doing something make it right now",negative
    "jetblue jetbluebos whats up with luggage for flt 790 dcabos pax waiting for 30 min for bagsno show carousel 6 signs not updating",negative
"united why have airlines always told us they cant open a cabin door once it has been closed this plane has done it 3 times tonight",neutral
"united take a look at status of 683 sitting at ord this aint cool yo",negative
"usairways did a pre schooler develop your app the thing crashes every single time",negative
"jetblue i was so excited when i saw that you fly there ionlyflyblue",positive
"southwestair baggage woman said it was in blatimore and would be on a plane this morning now they cant find it wtf",negative
"americanair you guys cancelled flightled my flight for today and booked me for tomorrow so unfortunately i have rebooked thanks",negative
"southwestair awesome thanks you guys rock",positive
"usairways 45 minutes means no public transit home and an expensive cab promises doesnt make up for it",negative
"americanair aa 2258 why have you cancelled flightled our flight without courtesy of notifying us or alternatives very poor",negative
"americanair hats off to admiral lounge attendant yyz terminal 3 who gave her banana to our toddler when none avail elsewhere",positive
"americanair it just hangs up and your agents on the ground are useless how dont i have a seat on a first class ticket booked weeks ago",negative
"united there are a lot of unhappy cold people on the bridge in freezing temps for an hour not given any info",negative
"jetblue great will do once i land in jfk",positive
"americanair travisamex its not the weather its also gross incompetence understaffing crew forgetting to load bags dont duck truth",negative
"usairways but need to confirm please help",neutral
"usairways 25 min hung up always awful having to call reservations there",negative
"jetblue can u see whats holding up flt 1002 bags one bag came out nothing else for 10 minutes",negative
"united my coworker that had the same conflict as me with the hotel issue trying to share posted on their facebook page and they erased it",negative
"southwestair the fact that u see black history month 12 months a year is honorable we will be an economic base for corp like u in future",positive
"southwestair same here would appreciate a follow so i can dm my info to figure out what i am supposed to do",negative
"united im try to upgrade my seats to first class but the wait time on the phone is 40 minutes can you help",negative
"jetblue i have a little more time then thatlol well actually a lot more 36 days more but im just excited",positive
"americanair lost lesliewolfson luggage on flight yesterday morning miami to newyork lga no response and no luggage more than 37 hrs ltr",negative
"united 3 hrs searching for flts find 1 on site amp cant book the offered bc 1 seg isnt really available lies falseadvertising",negative
"southwestair flight to atlanta getting cancelled flightled and then had to re schedule on the phone for over 15 hours with a rep this bumping us",negative
"southwestair a whole family with a special olympic athlete here and you cant even call them 6176533040",negative
"americanair can you please help youve now rebooked me incorrectly after flight was cancelled flightled please fix my flt to tuesday",negative
"united can you assist with current flight status for flt 1016 out of dfw tomorrow at 655am",neutral
"americanair makes some small improvements and retains their program they win all they keep the crappy food and change advantage they lose",negative
"jetblue why must you always delay my late flight night orlando flights 💔",negative
"southwestair is new mkt strategy to be average like all the rest whathappend rr points devalued again URL",negative
"united any solutions",negative
"southwestair i would do anything for tickets to the vegas anything i love imagine dragons so much",positive
"americanair the status on my itinerary says on request in red whats that mean",neutral
"united if you dont like delayed bags why do you let it happen so much",negative
