@relation Tweets

@attribute text string
@attribute labelled_sentiment {positive,neutral,negative}

@data
"jetblues new ceo seeks the right balance to please passengers and wall greenfield daily repoer url",neutral
"jetblue is really getting on my nerves  rage  rage  nothappy",negative
"united yes we waited in line for almost an hour to do so some passengers just left not wanting to wait past am",negative
"united the we got into the gate at iah on time and have given our seats and closed the flight if you know people is arriving have to wait",negative
"southwestair its cool that my bags take a bit longer dont give me baggage blue ballsturn the carousel on tell me its coming then not",negative
"united and dont hope for me having a nicer flight some other time try to do things right you sold me those tickets with that connetion",negative
"united i like delays less than you because im the one on the plane connect me with a voucher",negative
"united link to current status of flightsairpos fly bwiewrmco this morning yet cant yet tell what any problems are except see snow",negative
"united i tried  dm it would not go thru not sure why",negative
"southwestair you guys there are we on hour  of our phone hold at am bc of volume or sho staffing",negative
"wanted to get my bag benefit but instead get  pricing on all three tickets when adding a card mp visa is only option united",negative
"united please see a flight attendant for what why isnt there enough room for over head bags i carry on to save time",negative
"united still waiting for a reply",negative
"united even though technically after i land i will be silver",neutral
"usairways hows us  looking today",neutral
"southwestair nice work on the update",positive
"united i have items of sentimental value that im heabroken are missing",negative
"southwestair we have been stuck in sju for several hours and no one is answering here really tough to luv sw no response is bad",negative
"usairways americanair how r u supposed to change flights when u cant get thru to reservations onehouronhold",negative
"jetblue thanks her flight leaves at  but shes arriving to the airpo early wedding is in vt in sept grateful you fly to btv ",positive
"united is officially the worst most delayed and least helpful airline i have ever had the misfoune of flying on",negative
"southwestair wont answer their phones horribleservice neveragain frustrated answehephone",negative
"usairways reservations had me on hold for  hours only to hang upsmh  confused ",negative
"jetblue no worries delay was minor and dealt with nicely it was captain of flight  by the way",positive
"united clicked on the link and got this confused url",neutral
"southwestair is it a temporary site glitch or are you no longer offering flights from grr to geg after feb cant find any online ",neutral
"southwestair flight was cancelled flightled and it wont let me rebook online wait time on phone is too long please help",negative
"southwestair guys weve got to do something about the inability to check in online for international flight that has ",neutral
"jetblue really caring",neutral
"southwestair allows other passengers  harass u after their gate agents mistakefurious they are doing nothing about it amp my yo was scared",negative
"southwestair this is really unhelpful why cant i rebook online url",negative
"jetblue sitting on the plane in jfk waiting to take off doors are open catering is stocking up we are delayed but they couldnt be nicer",negative
"jetblue a flight delay due to pilots oversleeping is apparently an uncontrollable irregularity that is not eligible for delay compensation",negative
"usairways we have no choice but to pay another  to go to the airpo in the hopes that we will be treated better by a rep",negative
